鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,check,value2,value3,_r,_g,_b,_sort-key
東日本旅客鉄道,中央線,武蔵小金井,国分寺,139.50593,35.701035,139.48002,35.70011,22,国分寺,434059,0.924357776,255,20,0,434059
東日本旅客鉄道,中央線,国分寺,西国分寺,139.48002,35.70011,139.465985,35.69991,22,西国分寺,432579,0.921206016,255,21,0,432579
東日本旅客鉄道,中央線,西国分寺,国立,139.465985,35.69991,139.446415,35.699195,22,国立,432579,0.921206016,255,21,0,432579
東日本旅客鉄道,中央線,国立,立川,139.446415,35.699195,139.41505,35.69803,22,立川,436131,0.928770239,255,19,0,436131
東日本旅客鉄道,中央線,立川,日野,139.41505,35.69803,139.39365,35.67896,22,日野,327331,0.697073336,255,78,0,327331
東日本旅客鉄道,中央線,日野,豊田,139.39365,35.67896,139.3814,35.65942,22,豊田,325657,0.693508441,255,79,0,325657
東日本旅客鉄道,中央線,豊田,八王子,139.3814,35.65942,139.339,35.65547,22,八王子,274097,0.58370796,255,107,0,274097
東日本旅客鉄道,中央線,八王子,西八王子,139.339,35.65547,139.312005,35.656275,22,西八王子,250305,0.533041299,255,120,0,250305
東日本旅客鉄道,中央線,西八王子,高尾,139.312005,35.656275,139.282635,35.642375,22,高尾,249592,0.531522917,255,120,0,249592
東日本旅客鉄道,中央線,高尾,相模湖,139.282635,35.642375,139.188525,35.617315,22,相模湖,55872,0.118983174,255,225,0,55872
東日本旅客鉄道,中央線,相模湖,藤野,139.188525,35.617315,139.15133,35.615995,22,藤野,53400,0.113718884,255,227,0,53400
東日本旅客鉄道,中央線,藤野,上野原,139.15133,35.615995,139.115405,35.618445,22,上野原,53400,0.113718884,255,227,0,53400
東日本旅客鉄道,中央線,上野原,四方津,139.115405,35.618445,139.07339,35.61413,22,四方津,53400,0.113718884,255,227,0,53400
東日本旅客鉄道,中央線,四方津,梁川,139.07339,35.61413,139.0373,35.606265,22,梁川,53400,0.113718884,255,227,0,53400
東日本旅客鉄道,中央線,梁川,鳥沢,139.0373,35.606265,139.003485,35.60804,22,鳥沢,53400,0.113718884,255,227,0,53400
東日本旅客鉄道,中央線,鳥沢,猿橋,139.003485,35.60804,138.96701,35.61239,22,猿橋,53400,0.113718884,255,227,0,53400
東日本旅客鉄道,中央線,猿橋,大月,138.96701,35.61239,138.94133,35.61274,22,大月,53400,0.113718884,255,227,0,53400
東日本旅客鉄道,中央線,大月,初狩,138.94133,35.61274,138.88367,35.59429,22,初狩,29670,0.063184257,255,239,0,29670
東日本旅客鉄道,中央線,初狩,笹子,138.88367,35.59429,138.82456,35.60383,22,笹子,29670,0.063184257,255,239,0,29670
