鉄道事業者,路線,駅1,駅2,経度1,緯度1,経度2,緯度2,フラグ,value
九州旅客鉄道,久大線,野矢,由布院,131.2519,33.240385,131.35492,33.2625,1,
九州旅客鉄道,久大線,由布院,南由布,131.35492,33.2625,131.333355,33.24219,1,
九州旅客鉄道,久大線,南由布,湯平,131.333355,33.24219,131.354305,33.19734,1,
九州旅客鉄道,久大線,湯平,庄内,131.354305,33.19734,131.40191,33.1851,1,
九州旅客鉄道,久大線,庄内,天神山,131.40191,33.1851,131.438905,33.187025,1,
九州旅客鉄道,久大線,天神山,小野屋,131.438905,33.187025,131.452605,33.185165,1,
九州旅客鉄道,久大線,小野屋,鬼瀬,131.452605,33.185165,131.48547000000002,33.19571500000001,1,
九州旅客鉄道,久大線,鬼瀬,向之原,131.48547000000002,33.19571500000001,131.514065,33.19668,1,
九州旅客鉄道,久大線,向之原,豊後国分,131.514065,33.19668,131.551265,33.195080000000004,1,
九州旅客鉄道,久大線,豊後国分,賀来,131.551265,33.195080000000004,131.56262,33.21307,1,
九州旅客鉄道,久大線,賀来,南大分,131.56262,33.21307,131.586285,33.21401,1,
九州旅客鉄道,久大線,南大分,古国府,131.586285,33.21401,131.608305,33.22064,1,
九州旅客鉄道,久大線,古国府,大分,131.608305,33.22064,131.606695,33.2326,1,
九州旅客鉄道,宮崎空港線,宮崎空港,田吉,131.43979,31.87243,131.43041,31.878915,1,
九州旅客鉄道,九州新幹線,博多,新鳥栖,130.421175,33.589574999999996,130.490932,33.370707,1,
九州旅客鉄道,九州新幹線,新鳥栖,久留米,130.490932,33.370707,130.501372,33.3207285,1,
九州旅客鉄道,九州新幹線,久留米,筑後船小屋,130.501372,33.3207285,130.49168,33.17784,1,
九州旅客鉄道,九州新幹線,筑後船小屋,新大牟田,130.49168,33.17784,130.4887535,33.071315999999996,1,
九州旅客鉄道,九州新幹線,新大牟田,新玉名,130.4887535,33.071315999999996,130.573082,32.942944,1,
九州旅客鉄道,九州新幹線,新玉名,熊本,130.573082,32.942944,130.68866,32.78931,1,
九州旅客鉄道,九州新幹線,熊本,新八代,130.68866,32.78931,130.63386,32.51771,1,
九州旅客鉄道,九州新幹線,新八代,新水俣,130.63386,32.51771,130.42944,32.21095,1,
九州旅客鉄道,九州新幹線,新水俣,出水,130.42944,32.21095,130.35875,32.08882,1,
九州旅客鉄道,九州新幹線,出水,川内,130.35875,32.08882,130.3122,31.81363,1,
九州旅客鉄道,九州新幹線,川内,鹿児島中央,130.3122,31.81363,130.54216,31.58486,1,
九州旅客鉄道,後藤寺線,新飯塚,上三緒,130.694315,33.644275,130.71387,33.62223,1,
九州旅客鉄道,後藤寺線,上三緒,下鴨生,130.71387,33.62223,130.728345,33.614734999999996,1,
九州旅客鉄道,後藤寺線,下鴨生,筑前庄内,130.728345,33.614734999999996,130.73851,33.61638,1,
九州旅客鉄道,後藤寺線,筑前庄内,船尾,130.73851,33.61638,130.767435,33.630210000000005,1,
九州旅客鉄道,後藤寺線,船尾,田川後藤寺,130.767435,33.630210000000005,130.80021499999998,33.630359999999996,1,
九州旅客鉄道,香椎線,宇美,新原,130.513415,33.569230000000005,130.508785,33.57918,1,
九州旅客鉄道,香椎線,新原,須恵中央,130.508785,33.57918,130.50508,33.5874,1,
九州旅客鉄道,香椎線,須恵中央,須恵,130.50508,33.5874,130.49806999999998,33.59683,1,
九州旅客鉄道,香椎線,須恵,酒殿,130.49806999999998,33.59683,130.486335,33.602615,1,
九州旅客鉄道,香椎線,酒殿,長者原,130.486335,33.602615,130.47822,33.61375,1,
九州旅客鉄道,香椎線,長者原,伊賀,130.47822,33.61375,130.47364499999998,33.62105,1,
九州旅客鉄道,香椎線,伊賀,土井,130.47364499999998,33.62105,130.466135,33.635115,1,
九州旅客鉄道,香椎線,土井,舞松原,130.466135,33.635115,130.45559500000002,33.64469,1,
九州旅客鉄道,香椎線,舞松原,香椎神宮,130.45559500000002,33.64469,130.452685,33.649654999999996,1,
九州旅客鉄道,香椎線,香椎神宮,香椎,130.452685,33.649654999999996,130.44402,33.659735,1,
九州旅客鉄道,香椎線,香椎,和白,130.44402,33.659735,130.42973,33.688795,1,
九州旅客鉄道,香椎線,和白,奈多,130.42973,33.688795,130.41223000000002,33.686495,1,
九州旅客鉄道,香椎線,奈多,雁ノ巣,130.41223000000002,33.686495,130.402795,33.683775,1,
